2
34 34
-0.396448 -0.267955 0.000000 -0.000000 1.000000
-0.474276 -0.317987 0.030303 -0.000000 1.000000
-0.532243 -0.366310 0.060606 -0.000000 1.000000
-0.573272 -0.410009 0.090909 -0.000000 1.000000
-0.600126 -0.447762 0.121212 -0.000000 1.000000
-0.614937 -0.479185 0.151515 -0.000000 1.000000
-0.619117 -0.504369 0.181818 -0.000000 1.000000
-0.613414 -0.523611 0.212121 -0.000000 1.000000
-0.598008 -0.537285 0.242424 -0.000000 1.000000
-0.572593 -0.545795 0.272727 -0.000000 1.000000
-0.536466 -0.549591 0.303030 -0.000000 1.000000
-0.488628 -0.549230 0.333333 -0.000000 1.000000
-0.427975 -0.545469 0.363636 -0.000000 1.000000
-0.353638 -0.539376 0.393939 -0.000000 1.000000
-0.265554 -0.532398 0.424242 -0.000000 1.000000
-0.165191 -0.526271 0.454545 -0.000000 1.000000
-0.056122 -0.522675 0.484848 -0.000000 1.000000
0.056122 -0.522675 0.515152 -0.000000 1.000000
0.165191 -0.526271 0.545455 -0.000000 1.000000
0.265554 -0.532398 0.575758 -0.000000 1.000000
0.353638 -0.539376 0.606061 -0.000000 1.000000
0.427975 -0.545469 0.636364 -0.000000 1.000000
0.488628 -0.549230 0.666667 -0.000000 1.000000
0.536466 -0.549591 0.696970 -0.000000 1.000000
0.572593 -0.545795 0.727273 -0.000000 1.000000
0.598008 -0.537285 0.757576 -0.000000 1.000000
0.613414 -0.523611 0.787879 -0.000000 1.000000
0.619117 -0.504369 0.818182 -0.000000 1.000000
0.614937 -0.479185 0.848485 -0.000000 1.000000
0.600126 -0.447762 0.878788 -0.000000 1.000000
0.573272 -0.410009 0.909091 -0.000000 1.000000
0.532243 -0.366310 0.939394 -0.000000 1.000000
0.474276 -0.317987 0.969697 -0.000000 1.000000
0.396448 -0.267955 1.000000 -0.000000 1.000000
-0.411661 -0.275327 0.000566 0.015152 1.000000
-0.490525 -0.328195 0.030835 0.015152 1.000000
-0.548596 -0.378678 0.061104 0.015152 1.000000
-0.589286 -0.423892 0.091372 0.015152 1.000000
-0.615672 -0.462651 0.121641 0.015152 1.000000
