2
34 34
-0.141056 -0.870661 0.000000 -0.000000 1.000000
-0.165979 -0.869111 0.030303 -0.000000 1.000000
-0.195656 -0.866932 0.060606 -0.000000 1.000000
-0.232916 -0.863680 0.090909 -0.000000 1.000000
-0.282395 -0.858461 0.121212 -0.000000 1.000000
-0.351698 -0.849389 0.151515 -0.000000 1.000000
-0.452130 -0.832462 0.181818 -0.000000 1.000000
-0.595303 -0.800053 0.212121 -0.000000 1.000000
-0.781736 -0.741221 0.242424 -0.000000 1.000000
-0.992040 -0.646023 0.272727 -0.000000 1.000000
-1.194621 -0.509601 0.303030 -0.000000 1.000000
-1.356889 -0.332196 0.333333 -0.000000 1.000000
-1.447627 -0.117883 0.363636 -0.000000 1.000000
-1.434089 0.125034 0.393939 -0.000000 1.000000
-1.279430 0.380487 0.424242 -0.000000 1.000000
-0.948353 0.616922 0.454545 -0.000000 1.000000
-0.436412 0.780621 0.484848 -0.000000 1.000000
0.179948 0.812708 0.515152 -0.000000 1.000000
0.751743 0.698806 0.545455 -0.000000 1.000000
1.163113 0.484887 0.575758 -0.000000 1.000000
1.389015 0.231321 0.606061 -0.000000 1.000000
1.456686 -0.021068 0.636364 -0.000000 1.000000
1.403407 -0.250801 0.666667 -0.000000 1.000000
1.262624 -0.446983 0.696970 -0.000000 1.000000
1.064135 -0.603919 0.727273 -0.000000 1.000000
0.837473 -0.719373 0.757576 -0.000000 1.000000
0.614026 -0.795042 0.787879 -0.000000 1.000000
0.423177 -0.837814 0.818182 -0.000000 1.000000
0.280403 -0.858691 0.848485 -0.000000 1.000000
0.181629 -0.868007 0.878788 -0.000000 1.000000
0.113748 -0.872068 0.909091 -0.000000 1.000000
0.065239 -0.873821 0.939394 -0.000000 1.000000
0.028605 -0.874514 0.969697 -0.000000 1.000000
-0.000669 -0.874679 1.000000 -0.000000 1.000000
-0.140182 -0.869048 0.000566 0.015152 1.000000
-0.164736 -0.867388 0.030835 0.015152 1.000000
-0.193887 -0.865051 0.061104 0.015152 1.000000
-0.230355 -0.861578 0.091372 0.015152 1.000000
-0.278568 -0.856066 0.121641 0.015152 1.000000
-0.345777 -0.846634 0.151910 0.015152 1.000000
-0.442773 -0.829348 0.182179 0.015152 1.000000
-0.580777 -0.796779 0.212447 0.015152 1.000000
-0.760481 -0.738312 0.242716 0.015152 1.000000
-0.962926 -0.644399 0.272985 0.015152 1.000000
-1.156713 -0.510704 0.303253 0.015152 1.000000
-1.309529 -0.338141 0.333522 0.015152 1.000000
-1.391006 -0.131567 0.363791 0.015152 1.000000
-1.370294 0.099920 0.394060 0.015152 1.000000
-1.214272 0.339862 0.424328 0.015152 1.000000
-0.893731 0.558136 0.454597 0.015152 1.000000
-0.409620 0.706703 0.484866 0.015152 1.000000
0.166694 0.735482 0.515134 0.015152 1.000000
0.703752 0.632565 0.545403 0.015152 1.000000
1.097363 0.436575 0.575672 0.015152 1.000000
1.320316 0.200211 0.605940 0.015152 1.000000
1.393322 -0.038728 0.636209 0.015152 1.000000
1.348911 -0.258953 0.666478 0.015152 1.000000
1.217936 -0.448908 0.696747 0.015152 1.000000
1.028908 -0.602141 0.727015 0.015152 1.000000
0.810809 -0.715723 0.757284 0.015152 1.000000
0.594900 -0.790762 0.787553 0.015152 1.000000
0.410409 -0.833672 0.817821 0.015152 1.000000
0.272409 -0.855061 0.848090 0.015152 1.000000
0.176737 -0.864949 0.878359 0.015152 1.000000
0.110717 -0.869490 0.908628 0.015152 1.000000
0.063321 -0.871603 0.938896 0.015152 1.000000
0.027381 -0.872557 0.969165 0.015152 1.000000
-0.001434 -0.872906 0.999434 0.015152 1.000000
-0.139306 -0.867454 0.002264 0.030303 1.000000
-0.163488 -0.865688 0.032430 0.030303 1.000000
-0.192111 -0.863197 0.062596 0.030303 1.000000
-0.227779 -0.859514 0.092761 0.030303 1.000000
-0.274710 -0.853725 0.122927 0.030303 1.000000
-0.339782 -0.843962 0.153093 0.030303 1.000000
-0.433219 -0.826375 0.183259 0.030303 1.000000
-0.565752 -0.793768 0.213425 0.030303 1.000000
-0.738199 -0.735907 0.243591 0.030303 1.000000
-0.932187 -0.643679 0.273756 0.030303 1.000000
-1.116754 -0.513253 0.303922 0.030303 1.000000
-1.260040 -0.346142 0.334088 0.030303 1.000000
